url,captionist,assessor,caption,grade,id,filepath,clip_grade
http://cocodataset.org/#explore?id=393274,COCO,Aymeric,a yellow and white train traveling past a train station,0.9,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg,0.7304041385650635
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,several trains parked in a train station,0.3,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg,0.26958414912223816
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,a river with people nearby,0.0,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg,1.171631538454676e-05
http://cocodataset.org/#explore?id=427123,COCO,Léo,"three people in formal military uniforms, two are wearing medals around their necks",1.0,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg,0.999040424823761
http://cocodataset.org/#explore?id=427123,Arthur,Léo,smiling researchers receiving the Nobel prize,0.5,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg,0.0009263757383450866
http://cocodataset.org/#explore?id=427123,Arthur,Léo,three donkeys in a dark room,0.0,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg,3.3188618544954807e-05
http://cocodataset.org/#explore?id=405324,COCO,Conrad,the girl has a plate with a sandwich on it,1.0,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg,0.99873286485672
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,a fancy dinner downtown,0.6,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg,0.001211610739119351
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,his empty plate causes the baby to cry,0.0,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg,5.553846131078899e-05
http://cocodataset.org/#explore?id=300357,COCO,Aymeric,a woman in a skirt and colorful shirt kneeling down on floral fabric,0.95,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg,0.9241431355476379
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,a woman trying desperately to leave her bed,0.6,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg,0.07585670053958893
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,"two men lying in the sun, one using his dog as a kind of cushion",0.0,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg,1.6981233841306675e-07
http://cocodataset.org/#explore?id=57340,COCO,Léo,there is a tower that has a american flag at the top and a clock on it,1.0,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg,0.9997550845146179
http://cocodataset.org/#explore?id=57340,Arthur,Léo,the night is falling over Manhattan,0.3,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg,0.00023090427566785365
http://cocodataset.org/#explore?id=57340,Arthur,Léo,sunset over the Mississipi river,0.0,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg,1.408355910825776e-05
http://cocodataset.org/#explore?id=198654,COCO,Conrad,there are people playing a game of baseball,1.0,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg,0.667002260684967
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,players play the game,0.6,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg,0.3326966464519501
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,dancers dancing on a Broadway show,0.0,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg,0.0003011362859979272
http://cocodataset.org/#explore?id=518361,COCO,Aymeric,three people standing at the zoo watching a elephant,0.95,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg,0.6237627863883972
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,six people standing at the zoo watching two elephant,0.65,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg,0.3762371838092804
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,nobody watching nothing,0.1,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg,3.843448936891036e-08
http://cocodataset.org/#explore?id=525640,COCO,Léo,a banana dressed up to look like a person infront of a paper,0.7,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg,0.9965531826019287
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a man signing a contract,0.0,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg,0.0019702070858329535
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a salad fruit in the process of making,0.1,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg,0.0014766304520890117
