URL de l'image,Sous-titreur,Noteur,Sous-titre de l'image,Score humain,Score CLIP,Score normalisée,DeltaScore,EcartAbsolu,,,
http://cocodataset.org/#explore?id=212688,COCO,Conrad,a close up of a polar bear in a body of water,1,,"0,71","-0,71",1,http://cocodataset.org/#explore?id,212688,a close up of a polar bear in a body of water;a brown bear bathing in mud;a giraffe running in the toundra
,Arthur,Conrad,a brown bear bathing in mud,"0,4",,"0,29","-0,29",,,,
,Arthur,Conrad,a giraffe running in the toundra,0,,"0,00","0,00",,,,
http://cocodataset.org/#explore?id=393274,COCO,Aymeric,a yellow and white train traveling past a train station,"0,9","0,73","0,75","-0,02","0,03919172632",http://cocodataset.org/#explore?id,393274,a yellow and white train traveling past a train station;several trains parked in a train station;a river with people nearby
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,several trains parked in a train station,"0,3","0,27","0,25","0,02",,,,
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,a river with people nearby,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=427123,COCO,Léo,"three people in formal military uniforms, two are wearing medals around their necks",1,"1,00","0,67","0,33","0,6648138995",http://cocodataset.org/#explore?id,427123,"three people in formal military uniforms, two are wearing medals around their necks;smiling researchers receiving the Nobel prize;three donkeys in a dark room"
http://cocodataset.org/#explore?id=427123,Arthur,Léo,smiling researchers receiving the Nobel prize,"0,5","0,00","0,33","-0,33",,,,
http://cocodataset.org/#explore?id=427123,Arthur,Léo,three donkeys in a dark room,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=405324,COCO,Conrad,the girl has a plate with a sandwich on it,1,"1,00","0,63","0,37","0,7475767878",http://cocodataset.org/#explore?id,405324,the girl has a plate with a sandwich on it;a fancy dinner downtown;his empty plate causes the baby to cry
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,a fancy dinner downtown,"0,6","0,00","0,38","-0,37",,,,
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,his empty plate causes the baby to cry,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=300357,COCO,Aymeric,a woman in a skirt and colorful shirt kneeling down on floral fabric,"0,95","0,92","0,61","0,31","0,6224801572",http://cocodataset.org/#explore?id,300357,"a woman in a skirt and colorful shirt kneeling down on floral fabric;a woman trying desperately to leave her bed;two men lying in the sun, one using his dog as a kind of cushion"
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,a woman trying desperately to leave her bed,"0,6","0,08","0,39","-0,31",,,,
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,"two men lying in the sun, one using his dog as a kind of cushion",0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=57340,COCO,Léo,there is a tower that has a american flag at the top and a clock on it,1,"1,00","0,77","0,23","0,4610767208",http://cocodataset.org/#explore?id,57340,there is a tower that has a american flag at the top and a clock on it;the night is falling over Manhattan;sunset over the Mississipi river
http://cocodataset.org/#explore?id=57340,Arthur,Léo,the night is falling over Manhattan,"0,3","0,00","0,23","-0,23",,,,
http://cocodataset.org/#explore?id=57340,Arthur,Léo,sunset over the Mississipi river,0,"0,00","0,00","0,00",,,,
http://cocodataset.org/#explore?id=198654,COCO,Conrad,there are people playing a game of baseball,1,"0,67","0,63","0,04","0,08460674629",http://cocodataset.org/#explore?id,198654,there are people playing a game of baseball;players play the game;dancers dancing on a Broadway show
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,players play the game,"0,6","0,33","0,38","-0,04",,,,
