url,captionist,assessor,caption,grade,id,filepath
http://cocodataset.org/#explore?id=393274,COCO,Aymeric,a yellow and white train traveling past a train station,0.9,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,several trains parked in a train station,0.3,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg
http://cocodataset.org/#explore?id=393274,Arthur,Aymeric,a river with people nearby,0.0,393274,/root/fiftyone/coco-2017/train/data/000000393274.jpg
http://cocodataset.org/#explore?id=427123,COCO,Léo,"three people in formal military uniforms, two are wearing medals around their necks",1.0,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg
http://cocodataset.org/#explore?id=427123,Arthur,Léo,smiling researchers receiving the Nobel prize,0.5,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg
http://cocodataset.org/#explore?id=427123,Arthur,Léo,three donkeys in a dark room,0.0,427123,/root/fiftyone/coco-2017/train/data/000000427123.jpg
http://cocodataset.org/#explore?id=405324,COCO,Conrad,the girl has a plate with a sandwich on it,1.0,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,a fancy dinner downtown,0.6,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg
http://cocodataset.org/#explore?id=405324,Arthur,Conrad,his empty plate causes the baby to cry,0.0,405324,/root/fiftyone/coco-2017/train/data/000000405324.jpg
http://cocodataset.org/#explore?id=300357,COCO,Aymeric,a woman in a skirt and colorful shirt kneeling down on floral fabric,0.95,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,a woman trying desperately to leave her bed,0.6,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg
http://cocodataset.org/#explore?id=300357,Arthur,Aymeric,"two men lying in the sun, one using his dog as a kind of cushion",0.0,300357,/root/fiftyone/coco-2017/train/data/000000300357.jpg
http://cocodataset.org/#explore?id=57340,COCO,Léo,there is a tower that has a american flag at the top and a clock on it,1.0,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg
http://cocodataset.org/#explore?id=57340,Arthur,Léo,the night is falling over Manhattan,0.3,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg
http://cocodataset.org/#explore?id=57340,Arthur,Léo,sunset over the Mississipi river,0.0,57340,/root/fiftyone/coco-2017/train/data/000000057340.jpg
http://cocodataset.org/#explore?id=198654,COCO,Conrad,there are people playing a game of baseball,1.0,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,players play the game,0.6,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg
http://cocodataset.org/#explore?id=198654,Arthur,Conrad,dancers dancing on a Broadway show,0.0,198654,/root/fiftyone/coco-2017/train/data/000000198654.jpg
http://cocodataset.org/#explore?id=518361,COCO,Aymeric,three people standing at the zoo watching a elephant,0.95,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,six people standing at the zoo watching two elephant,0.65,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg
http://cocodataset.org/#explore?id=518361,Arthur,Aymeric,nobody watching nothing,0.1,518361,/root/fiftyone/coco-2017/train/data/000000518361.jpg
http://cocodataset.org/#explore?id=525640,COCO,Léo,a banana dressed up to look like a person infront of a paper,0.7,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a man signing a contract,0.0,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg
http://cocodataset.org/#explore?id=525640,Arthur,Léo,a salad fruit in the process of making,0.1,525640,/root/fiftyone/coco-2017/train/data/000000525640.jpg
http://cocodataset.org/#explore?id=526347,COCO,Conrad,a skateboarder on a skateboard in a skate park,1.0,526347,/root/fiftyone/coco-2017/train/data/000000526347.jpg
http://cocodataset.org/#explore?id=526347,Arthur,Conrad,a young man in shorts doing sports,0.4,526347,/root/fiftyone/coco-2017/train/data/000000526347.jpg
http://cocodataset.org/#explore?id=526347,Arthur,Conrad,a girl running after her dog,0.0,526347,/root/fiftyone/coco-2017/train/data/000000526347.jpg
http://cocodataset.org/#explore?id=4130,COCO,Aymeric,a bus parked on a street in front of several buildings,0.7,4130,/root/fiftyone/coco-2017/train/data/000000004130.jpg
http://cocodataset.org/#explore?id=4130,Arthur,Aymeric,a busy street some days before Christmas,0.3,4130,/root/fiftyone/coco-2017/train/data/000000004130.jpg
http://cocodataset.org/#explore?id=4130,Arthur,Aymeric,a murder scene in a kitchen appliance shop,0.0,4130,/root/fiftyone/coco-2017/train/data/000000004130.jpg
http://cocodataset.org/#explore?id=522661,COCO,Léo,two people holding suitcases walking towards a greyhound bus,0.9,522661,/root/fiftyone/coco-2017/train/data/000000522661.jpg
http://cocodataset.org/#explore?id=522661,Arthur,Léo,a group of persons running after a departing long-distance bus,0.5,522661,/root/fiftyone/coco-2017/train/data/000000522661.jpg
http://cocodataset.org/#explore?id=522661,Arthur,Léo,two swimmers in bathing suits lining at the front desk,0.0,522661,/root/fiftyone/coco-2017/train/data/000000522661.jpg
http://cocodataset.org/#explore?id=310526,COCO,Conrad,a traffic light with a green signal next to tall buildings,0.9,310526,/root/fiftyone/coco-2017/train/data/000000310526.jpg
http://cocodataset.org/#explore?id=310526,Arthur,Conrad,a red traffic light in the country side,0.3,310526,/root/fiftyone/coco-2017/train/data/000000310526.jpg
http://cocodataset.org/#explore?id=310526,Arthur,Conrad,a male swan on a lake is courtshipping a female swan,0.0,310526,/root/fiftyone/coco-2017/train/data/000000310526.jpg
http://cocodataset.org/#explore?id=497591,COCO,Aymeric,a small child is sitting on a bench outside,0.7,497591,/root/fiftyone/coco-2017/train/data/000000497591.jpg
http://cocodataset.org/#explore?id=497591,Arthur,Aymeric,a child waiting for his parents to finish shopping,0.2,497591,/root/fiftyone/coco-2017/train/data/000000497591.jpg
http://cocodataset.org/#explore?id=497591,Arthur,Aymeric,a shop with UNDERGROUND written on the entrance,0.1,497591,/root/fiftyone/coco-2017/train/data/000000497591.jpg
http://cocodataset.org/#explore?id=338991,COCO,Léo,a man is on a tennis court playing tennis,1.0,338991,/root/fiftyone/coco-2017/train/data/000000338991.jpg
http://cocodataset.org/#explore?id=338991,Arthur,Léo,fours tennis players sharing a court for a match,0.4,338991,/root/fiftyone/coco-2017/train/data/000000338991.jpg
http://cocodataset.org/#explore?id=338991,Arthur,Léo,a very tall man kissing a very short girl,0.0,338991,/root/fiftyone/coco-2017/train/data/000000338991.jpg
http://cocodataset.org/#explore?id=446463,COCO,Conrad,an old fashioned photograph of a fleet of buses,1.0,446463,/root/fiftyone/coco-2017/train/data/000000446463.jpg
http://cocodataset.org/#explore?id=446463,Arthur,Conrad,Jules Verne's vision for public transport in 2000,0.8,446463,/root/fiftyone/coco-2017/train/data/000000446463.jpg
http://cocodataset.org/#explore?id=446463,Arthur,Conrad,A naked person being captured by the police,0.0,446463,/root/fiftyone/coco-2017/train/data/000000446463.jpg
http://cocodataset.org/#explore?id=50356,COCO,Aymeric,a lot of flowers that are sitting on a table,0.75,50356,/root/fiftyone/coco-2017/train/data/000000050356.jpg
http://cocodataset.org/#explore?id=50356,Arthur,Aymeric,a red rose in a transparent vase,0.5,50356,/root/fiftyone/coco-2017/train/data/000000050356.jpg
http://cocodataset.org/#explore?id=50356,Arthur,Aymeric,a farmer harvesting sunflowers,0.05,50356,/root/fiftyone/coco-2017/train/data/000000050356.jpg
http://cocodataset.org/#explore?id=301402,COCO,Léo,a man sits at a table with a laptop computer on his knees,0.9,301402,/root/fiftyone/coco-2017/train/data/000000301402.jpg
http://cocodataset.org/#explore?id=301402,Arthur,Léo,a young boy fidgetting while a woman is talking,0.2,301402,/root/fiftyone/coco-2017/train/data/000000301402.jpg
http://cocodataset.org/#explore?id=301402,Arthur,Léo,a young man asking for helpo in a computer shop,0.5,301402,/root/fiftyone/coco-2017/train/data/000000301402.jpg
http://cocodataset.org/#explore?id=56624,COCO,Conrad,a wood bench is outside covered in snow,1.0,56624,/root/fiftyone/coco-2017/train/data/000000056624.jpg
http://cocodataset.org/#explore?id=56624,Arthur,Conrad,a bench decorated for Christmas,0.6,56624,/root/fiftyone/coco-2017/train/data/000000056624.jpg
http://cocodataset.org/#explore?id=56624,Arthur,Conrad,three PWC employees writing a report,0.0,56624,/root/fiftyone/coco-2017/train/data/000000056624.jpg
http://cocodataset.org/#explore?id=21097,COCO,Aymeric,the meal on the table is ready to be eaten,0.4,21097,/root/fiftyone/coco-2017/train/data/000000021097.jpg
http://cocodataset.org/#explore?id=21097,Arthur,Aymeric,italian dish and plastic cutlery,0.6,21097,/root/fiftyone/coco-2017/train/data/000000021097.jpg
http://cocodataset.org/#explore?id=21097,Arthur,Aymeric,a polluted river with dead fish,0.0,21097,/root/fiftyone/coco-2017/train/data/000000021097.jpg
http://cocodataset.org/#explore?id=14824,COCO,Léo,a group of people dressed as zombies near a stop sign,1.0,14824,/root/fiftyone/coco-2017/train/data/000000014824.jpg
http://cocodataset.org/#explore?id=14824,Arthur,Léo,a confused scene after an attack,0.3,14824,/root/fiftyone/coco-2017/train/data/000000014824.jpg
http://cocodataset.org/#explore?id=14824,Arthur,Léo,a giraffe eating leaves at the top of the trees,0.0,14824,/root/fiftyone/coco-2017/train/data/000000014824.jpg
http://cocodataset.org/#explore?id=317730,COCO,Conrad,a man is holding a surfboard decorated with the image of a woman,1.0,317730,/root/fiftyone/coco-2017/train/data/000000317730.jpg
http://cocodataset.org/#explore?id=317730,Arthur,Conrad,a man is holding a surfboard decorated with the image of an octopus,0.7,317730,/root/fiftyone/coco-2017/train/data/000000317730.jpg
http://cocodataset.org/#explore?id=317730,Arthur,Conrad,a man is holding skis decorated with snakes,0.3,317730,/root/fiftyone/coco-2017/train/data/000000317730.jpg
http://cocodataset.org/#explore?id=160703,COCO,Aymeric,two pizza's on sliver pans on a table with utensils,0.95,160703,/root/fiftyone/coco-2017/train/data/000000160703.jpg
http://cocodataset.org/#explore?id=160703,Arthur,Aymeric,five pizzas about to be eaten,0.6,160703,/root/fiftyone/coco-2017/train/data/000000160703.jpg
http://cocodataset.org/#explore?id=160703,Arthur,Aymeric,a mob assaulting an empty pizza place,0.2,160703,/root/fiftyone/coco-2017/train/data/000000160703.jpg
http://cocodataset.org/#explore?id=302313,COCO,Léo,the thin cow eats some grass next to the tree,0.9,302313,/root/fiftyone/coco-2017/train/data/000000302313.jpg
http://cocodataset.org/#explore?id=302313,Arthur,Léo,black and white cow on a green pasture land,0.4,302313,/root/fiftyone/coco-2017/train/data/000000302313.jpg
